from,to,buyer,seller,tokenId,amount,timestamp
195,163,e5fdedd718bdf40904d67658fa4b9629a7a8b515,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,608,0.5,2018-10-03T04:08:37Z
43,67,337101def3eeb6f06e071efe02216274507937bb,509de581ff7d32b7c38e95122de8b3ca59da9159,702,0.1,2018-10-03T18:35:14Z
43,56,337101def3eeb6f06e071efe02216274507937bb,414b46fbd1d189cf22c177c85d13142fc6d9d2f4,106,0.15,2018-10-04T05:33:55Z
156,27,b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,21316e6a4f0af45e5f1503984e83b10c53b177d8,727,0.67,2018-10-04T15:37:04Z
205,8,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,737,0.1,2018-10-04T22:56:39Z
205,19,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,191bbca32478b3ec3eb58f5569e6a86b8c6d92eb,720,0.4,2018-10-05T01:33:21Z
222,19,ff02ddbab49a8d2853daf0a9c6d42ccfb4f21f40,191bbca32478b3ec3eb58f5569e6a86b8c6d92eb,711,0.18,2018-10-05T19:44:46Z
205,219,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,fce9262f62f564edb7f2aed998ab3a551b5fb0ab,736,0.12,2018-10-08T15:18:11Z
129,184,94ea44d8cb575032373a9925f794be48a2b806e7,d0c877b474cd51959931a7f70d7a6c60f50cdae7,740,0.1,2018-10-09T01:14:33Z
192,8,e13d4abee4b304b67c52a56871141cad1b833aa7,0b715ca8dc39e7f8a480d28d9822ae02f0a57008,675,0.05,2018-10-11T22:33:49Z
129,184,94ea44d8cb575032373a9925f794be48a2b806e7,d0c877b474cd51959931a7f70d7a6c60f50cdae7,776,0.1,2018-10-12T15:11:01Z
112,129,7ec5c34f817867b10ff34d76dbc7ac2b9240ce85,94ea44d8cb575032373a9925f794be48a2b806e7,776,0.15,2018-10-13T00:37:17Z
42,104,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,77350e1152efd5f2d807a6124015c629a907155e,758,0.05,2018-10-13T18:52:37Z
